client_id	path	sentence_id	sentence	sentence_domain	up_votes	down_votes	age	gender	accents	variant	locale	segment
026ccc30041813bc12ec418a49ef522af835d6e7133d24cb465ebcf373ecd88d29b461eb49bf6c9e03cf4de6a77c44bfb84ac1673aca78771e2cb4dc6cc42f27	common_voice_en_21807105.mp3	5472f4fe8e435f04c6fa1ddcb69f2a659a768deb1ed414e28fff7055d0cc0540	He went to Georgia Southern University.		2	1					en	
026ccc30041813bc12ec418a49ef522af835d6e7133d24cb465ebcf373ecd88d29b461eb49bf6c9e03cf4de6a77c44bfb84ac1673aca78771e2cb4dc6cc42f27	common_voice_en_21807106.mp3	546c1cf75588dd80f1659b04cecaf6da25f4ca4eaf9c61e0e66786b592686fa4	A massive state effort was undertaken to follow up on their cases.		2	1					en	
026ccc30041813bc12ec418a49ef522af835d6e7133d24cb465ebcf373ecd88d29b461eb49bf6c9e03cf4de6a77c44bfb84ac1673aca78771e2cb4dc6cc42f27	common_voice_en_21807107.mp3	548096bc2e4623cf7c402a38746bb24af6585f7da80231d02b456e7a1c615873	Slip Anchor returned to the track in the September Stakes at Kempton Park.		2	0					en	
026d2144316a2ac0bc0872288def657af5bac642c6c1b8e8e50716d75629f7faf9c9b65b26a1240082d8be9d1106554a26c4c1bee3a7ceb34a9c2ec61909b885	common_voice_en_37211623.mp3	cdfcbf730909cd88865d2fe4f2bedf0b0c3bee00c5eae43a59003884c86d6186	He stood at stud at Fair Chance Farms in Washington Court House, Ohio.		4	0			United States English		en	
026d2144316a2ac0bc0872288def657af5bac642c6c1b8e8e50716d75629f7faf9c9b65b26a1240082d8be9d1106554a26c4c1bee3a7ceb34a9c2ec61909b885	common_voice_en_37211625.mp3	cdfc21d770270de6a05123e431a4ba8351c4bf0f3e097e205911afd31cd8e18b	He repeated his thesis succinctly: she was not a friend of the poor.		2	1			United States English		en	
026d2144316a2ac0bc0872288def657af5bac642c6c1b8e8e50716d75629f7faf9c9b65b26a1240082d8be9d1106554a26c4c1bee3a7ceb34a9c2ec61909b885	common_voice_en_37211626.mp3	cdf17c3f430c0a48a8a8580ef49c7beffa683f9fe17e45ddabed53f0cc095181	For centuries, it was the location of the Spanish colonial mint.		2	0			United States English		en	
0277a1e08f90eababc0042d066dc2a67dad837ea38c7a37385adbe98a241c41a9bf6396a93b7cd7e1cfb679fd5f0509a0700a99ed094f9daeffe6287cdfb59b8	common_voice_en_35244283.mp3	c61212fd94ca66f94dfa3d629e32fe1e7b95c755ba266aa7e0823e5d4c9039c1	He was commonly referred to as the "Blacksmith of Ballinalee".		2	0					en	
0277a1e08f90eababc0042d066dc2a67dad837ea38c7a37385adbe98a241c41a9bf6396a93b7cd7e1cfb679fd5f0509a0700a99ed094f9daeffe6287cdfb59b8	common_voice_en_35244284.mp3	c59feeed61ea72a2614862128516f3b6d4b2a1b27e82e93dedc0c423a96b5828	As the population of Beitar Illit is Haredi, the schools are all Haredi schools.		2	0					en	
0277a1e08f90eababc0042d066dc2a67dad837ea38c7a37385adbe98a241c41a9bf6396a93b7cd7e1cfb679fd5f0509a0700a99ed094f9daeffe6287cdfb59b8	common_voice_en_35244285.mp3	c5e6cd67031fe248e02832141cf7048c212b404739fe76425a27cc3e5e6d58fa	Peden has authored three books.		2	0					en	
0278f2d616564bce3da31144e933a649e0c0d88639c75267ab4a18dc51afa0303de1cd65bb0fcbd4f03a88e51e9340bd52c1a763a3050559f77bbe5f6aa93981	common_voice_en_648456.mp3	531a8aca6b2dc9d2e241e2a312ccb95cdb503c46fa618c2bfb356fd273e00bb9	A man wearing a black shirt sings in a band.		2	0	thirties	female_feminine			en	
0278f2d616564bce3da31144e933a649e0c0d88639c75267ab4a18dc51afa0303de1cd65bb0fcbd4f03a88e51e9340bd52c1a763a3050559f77bbe5f6aa93981	common_voice_en_648457.mp3	b8755244d3544a9532439732f77b90837eb18ceaf5320434c86e6e9d4f98a391	A bird is perched on a line of some sort attached to a pole.		2	0	thirties	female_feminine			en	
0278f2d616564bce3da31144e933a649e0c0d88639c75267ab4a18dc51afa0303de1cd65bb0fcbd4f03a88e51e9340bd52c1a763a3050559f77bbe5f6aa93981	common_voice_en_648458.mp3	da4aa500f3b8dba8ee08aa82bd3f172457bd41a5157218f6a71c23f9e35454f4	A man in a blue shirt stands holding his umbrella as flood waters rise around him.		2	0	thirties	female_feminine			en	
027a96b9ee74b4b0937498db2eb5f6b7a171cd1644bac7883eed8d6f2de91f54cbb7429be0cf471ed888dc53cd6a3a5604cf58826778bfbd79a4ece61bc1fcab	common_voice_en_91279.mp3	30c2829bd4907039a8d57b6bde893e9096cd18e6e912421bbd0bb3065a250833	Road construction arrows are pointing left		2	0					en	
027a96b9ee74b4b0937498db2eb5f6b7a171cd1644bac7883eed8d6f2de91f54cbb7429be0cf471ed888dc53cd6a3a5604cf58826778bfbd79a4ece61bc1fcab	common_voice_en_91280.mp3	9cccc4a365719dbd68a29f9c672315cea0074eea0f0590ca1d82dd7eef7d67b9	A man wearing a bathing cap and goggles is swimming in a river		2	0					en	
027a96b9ee74b4b0937498db2eb5f6b7a171cd1644bac7883eed8d6f2de91f54cbb7429be0cf471ed888dc53cd6a3a5604cf58826778bfbd79a4ece61bc1fcab	common_voice_en_91281.mp3	f21b73a1e9bd27e396ceedc652ac1dbc2da86dbf079a02dec423e5c5c7e545cb	The three dogs are running down a snowy track		2	1					en	
027cb2d7e3405e71a974a679f552ec9a272176f337a2db49d1cfa19e9ffefb94a86f596f5829c118afb6e4b11e4afe0a433b07d630ab29cbc7b5141d10a9b87f	common_voice_en_193528.mp3	2fce822d45dc66030c0d91f3e00e6560633fcb03fa40f77fe9f28a2636fec09a	I don't know about war.		2	0					en	
027cb2d7e3405e71a974a679f552ec9a272176f337a2db49d1cfa19e9ffefb94a86f596f5829c118afb6e4b11e4afe0a433b07d630ab29cbc7b5141d10a9b87f	common_voice_en_193530.mp3	cd10fd7e78fae76306d5827d583679b93a79c6dd3481fccab898342c973aff0e	I told him we could teach her to ignore people who waste her time.		4	0					en	
027ed28bfbbb547f3806c1666e8f42e4edb2e9b3a2eaad1bfc77f529c5f10dae306c7b1e81cc0a6345cbec202feaf636872553b52f370f342080db0663964d91	common_voice_en_27339710.mp3	a96ab9df568b6f9237990ccfdaca4af46f8b7086fee2657a172a07e3762e480c	He had contacts with William James and other psychologists.		2	0					en	
027ed28bfbbb547f3806c1666e8f42e4edb2e9b3a2eaad1bfc77f529c5f10dae306c7b1e81cc0a6345cbec202feaf636872553b52f370f342080db0663964d91	common_voice_en_27339711.mp3	a97c7faf5debc5e6a0b6fd51229d0ffebada4b7323c2458cbe979b19499ce914	Lindesberg has centuries old history, being the center of an old mining district.		2	1					en	
